,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:16:21,91060,145000,145000,-,-
11/01/2021 14:47:36,91060,145000,145000,-,-
13/01/2021 12:14:55,93120,350000,350000,-,-
13/01/2021 13:02:14,93120,350000,350000,-,-
13/01/2021 14:51:01,93120,350000,350000,-,-
13/01/2021 15:54:27,-,350000,350000,-,-
13/01/2021 17:27:28,93120,350000,350000,-,-
13/01/2021 18:34:45,93120,350000,350000,-,-
13/01/2021 19:48:42,93120,350000,350000,-,-
13/01/2021 22:13:52,93120,350000,350000,-,-
14/01/2021 00:30:22,93120,299999,299999,-,-
14/01/2021 02:31:25,93120,299999,299999,-,-
14/01/2021 07:34:56,93120,299999,299999,-,-
