,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:39:00,5710,5000,5000,-,-
11/01/2021 02:48:37,5710,5000,5000,-,-
11/01/2021 15:10:22,5710,5000,5000,-,-
11/01/2021 15:19:48,5710,5000,5000,-,-
11/01/2021 18:10:26,5710,4999,4999,-,-
11/01/2021 18:19:56,5710,4999,4999,-,-
13/01/2021 14:05:55,5710,4998,4998,50000,-
13/01/2021 14:17:44,5710,4998,4998,50000,-
13/01/2021 15:19:46,5710,4998,4998,50000,-
13/01/2021 16:23:24,5710,4998,4998,50000,-
13/01/2021 16:35:31,5710,4998,4998,50000,-
13/01/2021 17:57:40,5710,4998,4998,50000,-
13/01/2021 18:10:17,5710,4998,4998,50000,-
13/01/2021 19:04:25,5710,4998,4998,50000,-
13/01/2021 19:16:45,5710,4998,4998,50000,-
13/01/2021 20:20:08,5710,4998,4998,50000,-
13/01/2021 20:30:38,5710,4998,4998,50000,-
13/01/2021 22:45:00,5710,5000,-,50000,-
13/01/2021 22:54:14,5710,5000,-,50000,-
14/01/2021 01:00:11,5710,5000,-,50000,-
14/01/2021 01:12:42,5710,5000,-,50000,-
14/01/2021 03:00:12,5710,5000,-,50000,-
14/01/2021 03:12:01,5710,5000,-,50000,-
14/01/2021 08:03:48,5710,4997,4997,50000,-
14/01/2021 08:15:38,5710,5000,-,50000,-
